OBJECTID,agency,comments,latest,gisacres,incidentname,localincidentidentifier,state,pooresponsibleunit,perimeterdatetime,incomplex,fireyear,uniquefireidentifier,active,complexname,mapmethod,shape__Area,shape__Length
828,BLM,,Y,1125.00139026,Sid Butte,F559,ID,IDTFD,6/19/2000 12:00:00 AM,,2000,2000-IDTFD-F559,N,,Unknown,8470768.2890625,17087.5085238248
829,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,15816.26473799,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Skalkaho Complex,GPS-Unknown Travel Method,133077879.96875,94151.2480986241
830,unknown,Perimeter Date Unknown,N,2698.21884252,Vega,,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,19510422.0820313,42826.9883612111
831,unknown,Perimeter Date Unknown,N,3496.37708394,Filly,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,28772680.8046875,25894.3723059385
832,unknown,Perimeter Date Unknown,N,15.48094267,Arrowcreek Fire,J969,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV-J969,N,,GPS-Unknown Travel Method,105195.796875,1512.89415735305
833,unknown,Perimeter Date Unknown,Y,2496.79419894,Sheep,,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,17926987.6484375,30606.0718961841
834,BLM,,Y,1173.5735573,Sheep Station,F852,ID,IDIFD,9/2/2000 12:00:00 AM,,2000,2000-IDIFD-F852,N,,Unknown,9263204.1875,19777.1262908861
835,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,87.53240464,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,726497.2578125,4146.85733308026
836,unknown,,Y,36.37010954,Johnson Fire,X352,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X352,N,,GPS-Unknown Travel Method,254770.98828125,2937.44355443287
837,unknown,,N,533.90045403,Keystone Fire,X378,NV,,8/1/2000 12:00:00 AM,,2000,2000-NV-X378,N,,GPS-Unknown Travel Method,3784843.30859375,8191.04906976864
838,unknown,,N,5.4586091,Keystone Fire,X378,NV,,8/1/2000 12:00:00 AM,,2000,2000-NV-X378,N,,GPS-Unknown Travel Method,38701.44921875,1290.47283703787
839,unknown,,N,39.76225938,Keystone Fire,X378,NV,,8/1/2000 12:00:00 AM,,2000,2000-NV-X378,N,,GPS-Unknown Travel Method,281704.875,2163.15105771506
840,unknown,,N,46.25237841,Keystone Fire,X378,NV,,8/1/2000 12:00:00 AM,,2000,2000-NV-X378,N,,GPS-Unknown Travel Method,327505.75390625,2741.13430800025
841,unknown,,N,11.15107496,Jungo Complex,X379,NV,,8/2/2000 12:00:00 AM,,2000,2000-NV-X379,N,,GPS-Unknown Travel Method,79427.83203125,2029.1050767224
842,unknown,Perimeter Date Unknown;  Fire Name Unknown,Y,48263.65739627,,,NM,,12/31/2000 12:00:00 AM,,2000,2000-NM,N,,GPS-Unknown Travel Method,298358050.441406,144580.748002089
843,unknown,Perimeter Date Unknown,Y,57.15726049,12 Mile,,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,411523.07421875,3258.10291930105
844,unknown,Perimeter Date Unknown,Y,1173.04866808,Rainbow,,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,7516828.13671875,13429.9190915519
845,BLM,,Y,11418.88735639,Moonshine,F848,ID,IDIFD,8/5/2000 12:00:00 AM,,2000,2000-IDIFD-F848,N,,Unknown,85430281.1835938,69824.1478704732
846,BLM,,Y,1545.37363084,Mp77 I84,F042,ID,IDBOD,7/22/2000 12:00:00 AM,,2000,2000-IDBOD-F042,N,,GPS-Unknown Travel Method,11814010.2773438,25348.6739744764
847,BLM,,Y,123.72737155,Mud Spring,F001,ID,IDBOD,7/2/2000 12:00:00 AM,,2000,2000-IDBOD-F001,N,,GPS-Unknown Travel Method,945765.1484375,7577.07625000967
848,unknown,Perimeter Date Unknown,N,105.16406849,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,857133.3203125,3519.78182042779
849,BLM,,Y,24.06738395,Sheep Creek,F802,ID,IDIFD,9/21/2000 12:00:00 AM,,2000,2000-IDIFD-F802,N,,GPS-Unknown Travel Method,179261.33984375,1598.07039783241
850,CDF,No entry in FireCode,Y,1706.84913242,Romero,000295,CA,,8/9/2000 12:00:00 AM,,2000,2000-CA-000295,N,,Unknown,10874236.40625,15038.4973492082
851,unknown,Perimeter Date Unknown,N,2740.20585532,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,22260253.859375,26419.6351262124
852,unknown,,N,0.40545246,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,2912.671875,288.261607065283
853,unknown,,N,0.02267064,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,162.84375,101.768871420781
854,unknown,,N,114.67846455,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,823576.94140625,4202.18393929777
855,BLM,,Y,63.76176466,Northcindr,F043,ID,IDBOD,7/19/2000 12:00:00 AM,,2000,2000-IDBOD-F043,N,,GPS-Unknown Travel Method,486319.4375,3323.33628111269
856,unknown,Perimeter Date Unknown,N,62.31124388,Gabe,,ID,,12/31/2000 12:00:00 AM,Y,2000,2000-ID,N,Wilderness Complex,GPS-Unknown Travel Method,517330.671875,3140.67259959498
857,unknown,Perimeter Date Unknown,N,649.31792643,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,5234696.4765625,10738.3121221823
858,unknown,,N,57.28498523,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,411215.62890625,3978.6615533177
859,unknown,,N,45.97451144,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,329991.94140625,2298.89143342291
860,unknown,Perimeter Date Unknown;  Fire Name Unknown,Y,48614.2854817,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,408849962.90625,204382.466567677
861,BLM,,Y,6834.5874279,Naf,G180,ID,IDTFD,8/1/2000 12:00:00 AM,,2000,2000-IDTFD-G180,N,,Unknown,50187114.6640625,49884.9170975832
862,unknown,Perimeter Date Unknown,N,69.61213561,O'Brien,,MT,MTKNF,12/31/2000 12:00:00 AM,Y,2000,2000-MTKNF,N,Troy South,GPS-Unknown Travel Method,584486.5859375,2858.13454317278
863,unknown,Perimeter Date Unknown,N,2.63961917,Shellrock,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,21284.28125,1468.98900346125
864,BLM,,Y,20.66797055,Hwy 20,G202,ID,IDTFD,8/15/2000 12:00:00 AM,,2000,2000-IDTFD-G202,N,,Unknown,158130.04296875,1575.06436154299
865,unknown,Perimeter Date Unknown,N,588.26489133,Cliff Point,,MT,MTKNF,12/31/2000 12:00:00 AM,Y,2000,2000-MTKNF,N,Kootenai Complex,GPS-Unknown Travel Method,5477182.3828125,11183.998456223
866,unknown,Perimeter Date Unknown,N,4080.56784128,Cliff Point,,MT,MTKNF,12/31/2000 12:00:00 AM,Y,2000,2000-MTKNF,N,Kootenai Complex,GPS-Unknown Travel Method,37979464.9609375,30311.0242432869
867,unknown,Perimeter Date Unknown,N,1869.57812371,Shellrock,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,15117691.4453125,18598.3776606225
868,unknown,Perimeter Date Unknown,N,1.89025267,Shellrock,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,15246.2890625,1118.65147831876
869,unknown,Perimeter Date Unknown,Y,76943.60334641,Shellrock,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,622058885.734375,194555.245161895
870,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,11.62253663,,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,97506.3125,1322.57017866692
871,unknown,Perimeter Date Unknown,N,17.52378718,Tom,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,154360.8203125,4733.08471451022
872,BLM,,Y,2454.97788387,Reservoir Butte,N076,OR,ORVAD,8/24/2000 12:00:00 AM,,2000,2000-ORVAD-N076,N,,GPS-Unknown Travel Method,19427886.453125,51416.6672923829
873,unknown,,N,506.55954366,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,3623118.94140625,9209.31542717005
874,unknown,,N,426.22153675,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,3045908,7015.4407565081
875,unknown,,N,149.83811037,Kelly Creek Fire,X540,NV,,7/1/2000 12:00:00 AM,,2000,2000-NV-X540,N,,GPS-Unknown Travel Method,1070857.8046875,4732.83302608154
876,unknown,,N,40.73477547,Double H Fire,X354,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X354,N,,GPS-Unknown Travel Method,294610.8515625,2172.24962140042
877,unknown,Perimeter Date Unknown,N,1991.40363609,D,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,16292148.453125,19678.1161995216
878,unknown,Perimeter Date Unknown,N,19.62591841,Clear Creek,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,158628.125,1674.50771948789
879,unknown,Perimeter Date Unknown,Y,533.63871887,Dailey,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,4419659.85546875,8561.09282895652
880,BLM,Perimeter Date Unknown,N,1606.31309107,Strawberry,Y147,NV,NVELD,12/31/2000 12:00:00 AM,,2000,2000-NVELD-Y147,N,,Unknown,10992019.2382813,18629.4039173818
881,unknown,Perimeter Date Unknown,N,1.29619753,Marlin,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,10684.71875,370.918784702597
882,unknown,Perimeter Date Unknown,Y,6671.97313717,Enos,,WY,,12/31/2000 12:00:00 AM,Y,2000,2000-WY,N,Teton Complex,GPS-Unknown Travel Method,52127585.125,49144.9262924353
883,BLM,,Y,37.49207684,Iona,F874,ID,IDIFD,8/29/2000 12:00:00 AM,,2000,2000-IDIFD-F874,N,,Unknown,288755.9921875,2275.16938614031
884,unknown,Perimeter Date Unknown,N,67.24713583,Enos,,WY,,12/31/2000 12:00:00 AM,Y,2000,2000-WY,N,Teton Complex,GPS-Unknown Travel Method,525618.86328125,3431.80680367944
885,unknown,Perimeter Date Unknown,N,1075.45298014,Turtle Mountain Fire,J906,CA,NVCCD,12/31/2000 12:00:00 AM,Y,2000,2000-NVCCD-J906,N,Reno Complex,GPS-Unknown Travel Method,7447642.41015625,15252.7238127714
886,unknown,,N,1.17275458,Imlay Cut-Off,X547,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X547,N,,GPS-Unknown Travel Method,8298.75,517.765234640164
887,unknown,Perimeter Date Unknown,N,2084.48849836,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,17457731.734375,31449.3030492624
888,unknown,Perimeter Date Unknown,N,0.39607235,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,3451.6796875,274.841178120439
889,unknown,Perimeter Date Unknown,N,189.31824311,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,1649611.2265625,6783.4925378154
890,unknown,Perimeter Date Unknown,N,9.587348,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,83527.609375,1214.94009997414
891,unknown,Perimeter Date Unknown,N,3893.3531423,Bear,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,32628382.71875,29576.742149182
892,unknown,,N,4.68797233,Explosive Site Fire,X355,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X355,N,,GPS-Unknown Travel Method,33071.58203125,879.439181598715
893,unknown,,N,619.49971834,Prince Fire,X355,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X355,N,,GPS-Unknown Travel Method,4358148.62890625,8354.05088293669
894,BLM,,Y,35.7008008,Badlands,T148,WY,WYWOD,7/27/2000 12:00:00 AM,,2000,2000-WYWOD-T148,N,,Digitized-Other,277615.11328125,3038.28571484711
895,unknown,,N,1590.14559171,Prince Fire,X355,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X355,N,,GPS-Unknown Travel Method,11184029.2304688,17901.0050632335
896,BLM,Perimeter Date Unknown,Y,10.56565205,Xanadu,L718,NM,NMROD,12/31/2000 12:00:00 AM,,2000,2000-NMROD-L718,N,,Unknown,61508.66796875,1041.47002860438
897,unknown,Perimeter Date Unknown,N,9.57441187,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,83414.8828125,1214.37110985227
898,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,3996.61681557,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,33352732.4296875,50793.3284911684
899,unknown,Perimeter Date Unknown,N,11.42351207,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,99405.21875,1180.46233681774
900,unknown,Perimeter Date Unknown,N,9.587348,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,83527.609375,1214.94009997414
901,unknown,Perimeter Date Unknown,N,14.02585895,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,122156.015625,1345.73336708286
902,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,2726.96787658,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,22707229.59375,24438.9969011626
903,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,579.7446232,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,4825702.828125,9883.64386387749
904,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,453.00328978,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,3770624.609375,8887.16571321668
905,unknown,Perimeter Date Unknown,N,1.51350374,Valley Complex,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,12579.2578125,456.627306699625
906,unknown,Perimeter Date Unknown,N,1.49005805,Valley Complex,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,12383.3671875,408.178937326968
907,unknown,,N,264.00400155,Prince Fire,X355,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X355,N,,GPS-Unknown Travel Method,1855751.3515625,6669.44622847737
908,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,2357.01105262,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,19626140.1640625,20942.8765663717
909,unknown,Perimeter Date Unknown,Y,56.34215369,Antelope,R345,UT,,12/31/2000 12:00:00 AM,,2000,2000-UT-R345,N,,GPS-Unknown Travel Method,371735.640625,3447.10775349104
910,unknown,,N,217.54071283,Gregg Canyon Fire,X359,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X359,N,,GPS-Unknown Travel Method,1533591.3359375,5679.79279339145
911,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,23331.65515767,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,193409147.492188,123670.874494103
912,unknown,Perimeter Date Unknown,N,0.43538614,Rankin,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,3448.140625,215.583992090758
913,unknown,Perimeter Date Unknown,N,405.08437579,Alder,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,3450880.515625,26144.1949740439
914,unknown,Perimeter Date Unknown,N,8.68549427,Thompson Peak,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,76020.8828125,1199.24409338443
915,unknown,Perimeter Date Unknown,N,5030.22296903,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,43815934.8203125,31447.9854400702
916,unknown,Perimeter Date Unknown,N,1.22924843,Flat Creek,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Flat Creek Complex,GPS-Unknown Travel Method,10790.9296875,414.700306166418
917,unknown,,N,69938.14303156,Double H Fire,X354,NV,,7/17/2000 12:00:00 AM,,2000,2000-NV-X354,N,,GPS-Unknown Travel Method,506274852.765625,181400.472303742
918,BLM,,Y,156.44362321,Rock Ck,000015,ID,IDBOD,7/23/2000 12:00:00 AM,,2000,2000-IDBOD-000015,N,,GPS-Unknown Travel Method,1241260.796875,9855.88875062804
919,BLM,,Y,111.92878915,Rye Valley,N019,OR,ORVAD,6/22/2000 12:00:00 AM,,2000,2000-ORVAD-N019,N,,GPS-Unknown Travel Method,889262.21875,5259.29579522848
920,BLM,,Y,84.27351947,Scott Ck,F105,ID,IDBOD,8/27/2000 12:00:00 AM,,2000,2000-IDBOD-F105,N,,GPS-Unknown Travel Method,667835.90625,5696.20013132033
921,unknown,Perimeter Date Unknown,N,23444.71317831,Tin Cup,F842,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID-F842,N,,GPS-Unknown Travel Method,180642562.757813,85665.0304165223
922,BLM,,Y,9201.29353336,Se Impact,F002,ID,IDTFD,6/30/2000 12:00:00 AM,,2000,2000-IDTFD-F002,N,,GPS-Unknown Travel Method,68816108.3671875,43546.448207272
923,CDF,No entry in FireCode,Y,330.59211327,Success,000106,CA,,7/9/2000 12:00:00 AM,,2000,2000-CA-000106,N,,Unknown,2053151.3203125,5793.58771185014
924,unknown,Perimeter Date Unknown,N,23444.71317831,Tin Cup,F842,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID-F842,N,,GPS-Unknown Travel Method,180642562.757813,85665.0304165224
925,unknown,Perimeter Date Unknown,N,125.07718639,Papoose,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,SCF Wilderness Complex,GPS-Unknown Travel Method,1023717.265625,5922.55045922133
926,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,19492.27534158,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,161560140.335938,99811.9157757986
927,unknown,Perimeter Date Unknown,N,9125.30338531,Razor,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,75490017.1484375,51802.2625504621
928,BLM,,Y,1468.31396662,Crickett 1,R533,UT,UTRID,7/1/2000 12:00:00 AM,,2000,2000-UTRID-R533,N,,Unknown,9859845.24609375,16838.2532261129
929,unknown,Perimeter Date Unknown,N,10.3686811,Flossie,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,85190.6640625,1208.95856063968
930,unknown,Perimeter Date Unknown,N,0.96088398,Marlin,,ID,IDSCF,12/31/2000 12:00:00 AM,Y,2000,2000-IDSCF,N,Clear Creek Complex,GPS-Unknown Travel Method,7920.6171875,330.993933882089
931,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,52087.07134558,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Mussigbrod Complex,GPS-Unknown Travel Method,433853940.328125,208162.913733623
932,unknown,Perimeter Date Unknown,N,6244.90064429,Razor,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,51667033.5,52814.8034544192
933,unknown,Perimeter Date Unknown,N,1279.44585206,Razor,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,10589506.7890625,15540.0799012328
934,BLM,Perimeter Date Unknown,Y,8469.97356907,Coal Banks,G215,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID-G215,N,,GPS-Unknown Travel Method,62225094.515625,39104.5964032172
935,unknown,Perimeter Date Unknown,N,93.40075151,Hilltop,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,778608.578125,4145.50389407368
936,unknown,Perimeter Date Unknown,N,1015.80688816,Peacekeeper,,CA,,12/31/2000 12:00:00 AM,,2000,2000-CA,N,,GPS-Unknown Travel Method,6110714.0390625,12891.1659845092
937,unknown,Perimeter Date Unknown,N,429.75935585,Razor,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,3556986.9609375,6686.26624682061
938,unknown,Perimeter Date Unknown,N,33.27472533,Valley Complex,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,278759.6015625,2003.10185697756
939,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,458.54544006,,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,3804968.4375,10994.9892143137
940,unknown,Perimeter Date Unknown,N,69.29234762,Valley Complex,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,577333.9765625,2736.66703652207
941,unknown,Perimeter Date Unknown,N,858.94151046,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,7192535.4453125,16029.0620002617
942,BLM,Perimeter Date Unknown,Y,29.88126333,Snapdragon,L800,NM,NMROD,12/31/2000 12:00:00 AM,,2000,2000-NMROD-L800,N,,GPS-Unknown Travel Method,174395.671875,2009.92824571475
943,unknown,Perimeter Date Unknown,N,858.94151046,Falls Fork,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Middle Fork Complex,GPS-Unknown Travel Method,7192535.4453125,16029.0620002617
944,BLM,Perimeter Date Unknown,Y,253.19137685,Deep Well,L731,NM,NMROD,12/31/2000 12:00:00 AM,,2000,2000-NMROD-L731,N,,Digitized-Topo,1491640.65234375,10261.5467847615
945,BLM,No entry in FireCode; No fire number,Y,27.1321822,Black Ridge,,CO,,12/31/2000 12:00:00 AM,,2000,2000-CO,N,,Unknown,180445.51171875,2444.10589136971
946,unknown,Perimeter Date Unknown,N,0.00535272,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,43.4453125,32.6293075963003
947,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,23696.71850386,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,196431273.09375,118488.907522572
948,unknown,Perimeter Date Unknown,N,48.17619002,Landowner,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MT,N,Thompson Flat Complex,GPS-Unknown Travel Method,419385.5390625,3262.42228685445
949,unknown,Perimeter Date Unknown,N,13237.04255006,Razor,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,109506266.921875,63251.7582810524
950,unknown,Perimeter Date Unknown,N,220.28271527,Barka Slough,,CA,,12/31/2000 12:00:00 AM,,2000,2000-CA,N,,GPS-Unknown Travel Method,1324171.72265625,8250.79896559257
951,unknown,Perimeter Date Unknown,Y,1.99383631,East Thunder,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,18289.765625,518.646086747822
952,unknown,Perimeter Date Unknown,N,301.51050944,Flossie,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,2479191.75,7994.02402754331
953,CCO,No entry in FireCode,Y,6.57696984,Bradbury,004975,CA,,8/13/2000 12:00:00 AM,,2000,2000-CA-004975,N,,Unknown,39357.52734375,867.14958861556
954,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,129.31047898,,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,1043075.2265625,3981.58746048078
955,unknown,Perimeter Date Unknown,N,10.3686811,Flossie,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,85190.6640625,1208.95856063968
956,unknown,Perimeter Date Unknown,N,48808.14857955,Flossie,,ID,,12/31/2000 12:00:00 AM,,2000,2000-ID,N,,GPS-Unknown Travel Method,400647636.75,195215.495619323
957,unknown,Perimeter Date Unknown,N,70987.99447862,Diamond Peak,,ID,IDPAF,12/31/2000 12:00:00 AM,Y,2000,2000-IDPAF,N,Diamond Complex,GPS-Unknown Travel Method,577386559.320313,218435.929781319
958,unknown,Perimeter Date Unknown,Y,51.88099943,Stag,,MT,,12/31/2000 12:00:00 AM,,2000,2000-MT,N,,GPS-Unknown Travel Method,424241.76953125,3120.76659913245
959,unknown,Perimeter Date Unknown,Y,35.11944937,Patty,,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,253508.98046875,3242.64457706591
960,unknown,Perimeter Date Unknown,N,42.4060244,Ely,,NV,,12/31/2000 12:00:00 AM,,2000,2000-NV,N,,GPS-Unknown Travel Method,278882.765625,2314.07927461549
961,unknown,Perimeter Date Unknown;  Fire Name Unknown,N,42332.48471506,,,MT,MTBRF,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,356114515.25,137851.878255355
962,unknown,Perimeter Date Unknown,N,316.43421708,Valley Complex,,MT,,12/31/2000 12:00:00 AM,Y,2000,2000-MTBRF,N,Valley Complex,GPS-Unknown Travel Method,2648790.640625,10887.0995004367
